,released_date,budget,gross
0,1980-06-13,19000000.0,46998772.0
1,1980-07-02,4500000.0,58853106.0
2,1980-06-20,18000000.0,538375067.0
3,1980-07-02,3500000.0,83453539.0
4,1980-07-25,6000000.0,39846344.0
5,1980-05-09,550000.0,39754601.0
6,1980-06-20,27000000.0,115229890.0
7,1980-12-19,18000000.0,23402427.0
8,1981-06-19,54000000.0,108185706.0
9,1980-05-16,10000000.0,15795189.0
10,1980-12-17,15000000.0,70687344.0
11,1984-10-26,5000000.0,30031783.0
12,1980-12-12,20000000.0,49823037.0
13,1980-09-19,6000000.0,54766923.0
14,1980-07-25,6500000.0,31899000.0
15,1980-10-03,5100000.0,9709597.0
16,1980-05-16,20500000.0,21202829.0
17,1980-12-19,10000000.0,103300686.0
18,1980-02-08,1000000.0,21448782.0
19,1980-12-12,20500000.0,101300000.0
20,1980-02-15,11000000.0,19814523.0
21,1981-04-24,44000000.0,3484523.0
22,1980-08-01,12000000.0,16647800.0
23,1980-08-08,20000000.0,22762571.0
24,1980-06-06,20500000.0,46918287.0
25,1980-12-25,20500000.0,19853892.0
26,1980-03-21,20500000.0,34326249.0
27,1980-08-01,36000000.0,20208496.0
28,1980-06-20,9000000.0,37121708.0
29,1980-02-01,4800000.0,22743674.0
30,1980-09-26,20500000.0,22482952.0
31,1980-07-18,20500000.0,14796236.0
32,1980-08-15,20500000.0,66132626.0
33,1981-04-24,5100000.0,534816.0
34,1980-12-19,20500000.0,43995918.0
35,1980-10-10,10000000.0,69847348.0
36,1980-05-30,4000000.0,10000000.0
37,1980-10-24,3000000.0,6342668.0
38,1980-12-19,20500000.0,27118000.0
39,1980-03-07,20500000.0,67182787.0
40,1981-10-09,20500000.0,5000000.0
41,1980-07-03,20500000.0,20208496.0
42,1980-06-27,3500000.0,7063886.0
43,1980-04-25,20500000.0,6659377.0
44,1980-10-31,20500000.0,8415112.0
45,1980-07-18,20500000.0,41675194.0
46,1980-06-13,22000000.0,15716828.0
47,1980-11-07,300000.0,20208496.0
48,1980-05-09,15000000.0,14662035.0
49,1981-05-16,35000000.0,20208496.0
50,1980-09-26,10000000.0,10389003.0
51,1980-09-19,7000000.0,4309490.0
52,1980-06-20,20000000.0,20208496.0
53,1980-06-11,6500000.0,24265659.0
54,1981-04-08,20500000.0,12516.0
55,1980-11-21,20500000.0,20208496.0
56,1980-03-28,20000000.0,3763988.0
57,1980-07-11,6000000.0,6216067.0
58,1980-08-15,4000000.0,18971000.0
59,1981-03-13,11000000.0,20208496.0
60,1980-06-25,20500000.0,18000000.0
61,1980-12-03,20500000.0,14287755.0
62,1981-02-05,20500000.0,20208496.0
63,1980-07-18,20500000.0,17815212.0
64,1980-09-26,20500000.0,3910019.0
65,1980-02-01,20500000.0,7653061.0
66,1980-02-11,900000.0,20208496.0
67,1980-08-08,20500000.0,10697276.0
68,1980-03-28,20500000.0,9870727.0
69,1980-02-08,20500000.0,15934737.0
70,1980-06-13,20500000.0,14155617.0
71,1980-05-30,20500000.0,2013193.0
72,1980-09-26,20500000.0,5215015.0
73,1980-06-13,20500000.0,4226370.0
74,1980-01-18,20500000.0,2086905.0
75,1980-06-25,6000000.0,11000000.0
76,1980-03-21,20500000.0,6321392.0
77,1980-08-15,5500000.0,4400000.0
78,1980-11-01,20500000.0,109749.0
79,1983-11-18,3000000.0,20208496.0
80,1980-09-09,5100000.0,59167.0
81,1980-01-18,20500000.0,2128395.0
82,1980-10-24,20500000.0,2806659.0
83,1980-03-19,20500000.0,167451.0
84,1980-10-03,20500000.0,14504277.0
85,1980-08-15,20500000.0,804713.0
86,1981-02-15,20500000.0,6950125.0
87,1980-05-23,20500000.0,6621520.0
88,1980-03-28,20500000.0,2261507.0
89,1980-08-08,20500000.0,1175855.0
90,1980-12-25,20500000.0,15198912.0
91,1982-07-09,20500000.0,20208496.0
92,1981-06-12,18000000.0,389925971.0
93,1981-08-28,20500000.0,24058838.0
94,1981-08-21,10000000.0,30669378.0
95,1981-07-10,6000000.0,25244626.0
96,1983-04-15,350000.0,2956630.0
97,1982-03-19,2500000.0,111289673.0
98,1981-07-24,18000000.0,12000000.0
99,1981-06-12,15000000.0,41092328.0
100,1981-04-10,11000000.0,34971136.0
101,1982-05-21,3000000.0,23668369.0
102,1982-02-10,20500000.0,11487676.0
103,1981-06-26,10000000.0,85297000.0
104,1983-10-28,20500000.0,1113538.0
105,1981-06-19,18000000.0,72179579.0
106,1981-03-27,5500000.0,11492915.0
107,1981-07-17,20500000.0,32492674.0
108,1981-11-06,5000000.0,42368025.0
109,1981-05-22,20500000.0,50427646.0
110,1981-05-01,1250000.0,21722776.0
111,1981-01-14,20500000.0,14225876.0
112,1981-06-26,28000000.0,54813222.0
113,1981-10-30,2500000.0,25533818.0
114,1981-12-25,14000000.0,35856053.0
115,1981-12-25,32000000.0,40382659.0
116,1982-02-12,20500000.0,119285432.0
117,1981-07-10,12000000.0,63456988.0
118,1982-04-09,5500000.0,59303359.0
119,1981-12-18,12000000.0,40716963.0
120,1981-07-24,6500000.0,36565280.0
121,1981-07-31,10000000.0,10853418.0
122,1981-07-17,7000000.0,95461682.0
123,1981-10-11,20500000.0,5073.0
124,1981-04-17,20500000.0,15965924.0
125,1981-10-09,3000000.0,20208496.0
126,1981-06-12,11000000.0,31672907.0
127,1981-04-10,1000000.0,17985893.0
128,1981-06-26,18000000.0,14110013.0
129,1982-02-10,3000000.0,1752634.0
130,1982-02-12,12500000.0,20962615.0
131,1981-03-20,5000000.0,20471382.0
132,1981-09-25,5000000.0,19032261.0
133,1981-06-10,2800000.0,26279000.0
134,1981-03-20,12000000.0,12376625.0
