,name,released_date,rating,votes,score
0,The Shining,1980-06-13,R,927000.0,8.4
1,The Blue Lagoon,1980-07-02,R,65000.0,5.8
2,Star Wars: Episode V - The Empire Strikes Back,1980-06-20,PG,1200000.0,8.7
3,Airplane!,1980-07-02,PG,221000.0,7.7
4,Caddyshack,1980-07-25,R,108000.0,7.3
5,Friday the 13th,1980-05-09,R,123000.0,6.4
6,The Blues Brothers,1980-06-20,R,188000.0,7.9
7,Raging Bull,1980-12-19,R,330000.0,8.2
8,Superman II,1981-06-19,PG,101000.0,6.8
9,The Long Riders,1980-05-16,R,10000.0,7.0
10,Any Which Way You Can,1980-12-17,PG,18000.0,6.1
11,The Gods Must Be Crazy,1984-10-26,PG,54000.0,7.3
12,Popeye,1980-12-12,PG,30000.0,5.3
13,Ordinary People,1980-09-19,R,49000.0,7.7
14,Dressed to Kill,1980-07-25,R,37000.0,7.1
15,Somewhere in Time,1980-10-03,PG,27000.0,7.2
16,Fame,1980-05-16,R,21000.0,6.6
17,9 to 5,1980-12-19,PG,29000.0,6.9
18,The Fog,1980-02-08,R,66000.0,6.8
19,Stir Crazy,1980-12-12,R,26000.0,6.8
20,Cruising,1980-02-15,R,20000.0,6.5
21,Heaven's Gate,1981-04-24,R,14000.0,6.8
22,The Final Countdown,1980-08-01,PG,22000.0,6.7
23,Xanadu,1980-08-08,PG,12000.0,5.3
24,Urban Cowboy,1980-06-06,PG,14000.0,6.4
25,Altered States,1980-12-25,R,33000.0,6.9
26,Little Darlings,1980-03-21,R,5100.0,6.5
27,Raise the Titanic,1980-08-01,PG,4100.0,5.0
28,Brubaker,1980-06-20,R,17000.0,7.2
29,American Gigolo,1980-02-01,R,22000.0,6.2
30,My Bodyguard,1980-09-26,PG,8900.0,7.1
31,Prom Night,1980-07-18,R,16000.0,5.4
32,Smokey and the Bandit II,1980-08-15,PG,15000.0,5.3
33,Cattle Annie and Little Britches,1981-04-24,PG,604.0,6.1
34,Seems Like Old Times,1980-12-19,PG,9100.0,6.7
35,Private Benjamin,1980-10-10,R,24000.0,6.2
36,The Hollywood Knights,1980-05-30,R,4300.0,6.3
37,Motel Hell,1980-10-24,R,11000.0,6.0
38,The Jazz Singer,1980-12-19,PG,4000.0,5.9
39,Coal Miner's Daughter,1980-03-07,PG,17000.0,7.5
40,The Watcher in the Woods,1981-10-09,PG,5700.0,6.3
41,Breaker Morant,1980-07-03,PG,13000.0,7.9
42,The Stunt Man,1980-06-27,R,9000.0,7.1
43,Where the Buffalo Roam,1980-04-25,R,11000.0,6.6
44,The Awakening,1980-10-31,R,2000.0,4.8
45,Cheech and Chong's Next Movie,1980-07-18,R,12000.0,6.1
46,The Island,1980-06-13,R,3900.0,5.3
47,The Boogey Man,1980-11-07,R,3900.0,4.6
48,The Nude Bomb,1980-05-09,PG,3100.0,5.1
49,Lion of the Desert,1981-05-16,PG,15000.0,8.3
50,Stardust Memories,1980-09-26,PG,22000.0,7.3
51,Melvin and Howard,1980-09-19,R,4500.0,6.8
52,Can't Stop the Music,1980-06-20,PG,3700.0,4.2
53,Bronco Billy,1980-06-11,PG,11000.0,6.1
54,City of Women,1981-04-08,R,6700.0,7.0
55,The Private Eyes,1980-11-21,PG,2900.0,6.7
56,When Time Ran Out...,1980-03-28,PG,2600.0,4.6
57,Oh Heavenly Dog,1980-07-11,PG,2400.0,5.4
58,The Octagon,1980-08-15,R,5200.0,5.1
59,Hangar 18,1981-03-13,PG,2400.0,5.3
60,Herbie Goes Bananas,1980-06-25,G,5300.0,5.0
61,The Competition,1980-12-03,PG,1900.0,6.7
62,It's My Turn,1981-02-05,R,875.0,5.5
63,Honeysuckle Rose,1980-07-18,PG,1400.0,6.3
64,Resurrection,1980-09-26,PG,2800.0,7.3
65,Fatso,1980-02-01,PG,2000.0,6.3
66,Moscow Does Not Believe in Tears,1980-02-11,PG,12000.0,8.1
67,The Fiendish Plot of Dr. Fu Manchu,1980-08-08,PG,2000.0,5.1
68,Serial,1980-03-28,R,915.0,6.6
69,Hero at Large,1980-02-08,PG,1500.0,6.0
70,Wholly Moses!,1980-06-13,PG,1800.0,4.7
71,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980-05-30,G,2900.0,7.3
72,In God We Trust (or Gimme That Prime Time Religion),1980-09-26,PG,965.0,5.5
73,Roadie,1980-06-13,PG,1100.0,5.2
74,Just Tell Me What You Want,1980-01-18,R,585.0,5.5
75,The Last Flight of Noah's Ark,1980-06-25,G,1300.0,5.8
76,Little Miss Marker,1980-03-21,PG,1400.0,6.3
77,Willie & Phil,1980-08-15,R,415.0,5.9
78,Babylon,1980-11-01,R,1300.0,7.4
79,Windwalker,1983-11-18,PG,1000.0,6.9
80,Phobia,1980-09-09,R,546.0,4.0
81,Windows,1980-01-18,R,643.0,4.8
82,Loving Couples,1980-10-24,PG,351.0,5.2
83,The King and the Mockingbird,1980-03-19,Not Rated,4800.0,7.9
84,"Oh, God! Book II",1980-10-03,PG,2100.0,5.2
85,"Those Lips, Those Eyes",1980-08-15,R,269.0,6.5
86,La Cage aux Folles II,1981-02-15,R,1900.0,5.8
87,The Gong Show Movie,1980-05-23,R,740.0,4.3
88,Gilda Live,1980-03-28,R,599.0,6.8
89,Why Would I Lie?,1980-08-08,PG,211.0,6.5
90,First Family,1980-12-25,R,593.0,4.3
91,Mantis Fist Fighter,1982-07-09,R,230.0,6.7
92,Indiana Jones and the Raiders of the Lost Ark,1981-06-12,PG,905000.0,8.4
93,Body Heat,1981-08-28,R,32000.0,7.4
94,An American Werewolf in London,1981-08-21,R,97000.0,7.5
95,Escape from New York,1981-07-10,R,131000.0,7.2
96,The Evil Dead,1983-04-15,NC-17,192000.0,7.5
97,Porky's,1982-03-19,R,40000.0,6.2
98,Blow Out,1981-07-24,R,47000.0,7.4
99,Clash of the Titans,1981-06-12,PG,42000.0,6.9
